id,question_id,term,answer_zh,intended_ja,bluesky_uri,posted_at,created_at,draft_zh,correction_note,scheduled_at
1,1,1,我最近沉迷于学园偶像大师。偶像们都很可爱，而且故事和游戏都很有趣。我的推是花海咲季！,学マスにハマっています。アイドル達がみんな可愛くて、ストーリーが好みでゲームが楽しいです。推しは花海咲季です！,at://did:plc:f2ud37i6vbafoqiu56eplek7/app.bsky.feed.post/3leor6o7omk2l,2025-01-01 14:23:14.834+00,2025-12-30 12:22:20.481174+00,,,
2,2,1,"我给弟弟发了LINE。
今天是他的生日，所以我送了礼物。他看起来好像很忙，我希望他身体健康。",弟にLINEしました。今日は彼の誕生日だったので、プレゼントを送りました。忙しそうなので、身体に気をつけてほしいです。,at://did:plc:f2ud37i6vbafoqiu56eplek7/app.bsky.feed.post/3ler5wsnthc2o,2025-01-02 13:16:49.177+00,2025-12-30 12:22:20.601548+00,,,
3,3,1,"家族，正月，寿司。
因为是正月，亲戚都会过来，吃了寿司。
真是热闹又有趣。","家族、正月、寿司。
お正月なので、親戚と集まってお寿司を食べました。賑やかで楽しかったです。",at://did:plc:f2ud37i6vbafoqiu56eplek7/app.bsky.feed.post/3letr4uicks25,2025-01-03 14:05:32.991+00,2025-12-30 12:22:20.716135+00,,,
4,4,1,"我喜欢FitBoxing。
在家就能运动出汗。
对肩膀酸痛很有效。","フィットボクシングが好きです。
家から出ないでたくさん汗をかけます。
肩こりにも効きます。",at://did:plc:f2ud37i6vbafoqiu56eplek7/app.bsky.feed.post/3levqwnrq7k2p,2025-01-04 09:07:24.111+00,2025-12-30 12:22:20.823817+00,,,
5,5,1,"我买了一本书。
书名是《解剖学的历史》。
很期待收到。","本を買いました。
解剖学の歴史という本です。
届くのが楽しみです。",at://did:plc:f2ud37i6vbafoqiu56eplek7/app.bsky.feed.post/3leynhakny22t,2025-01-05 12:43:04.92+00,2025-12-30 12:22:20.932906+00,,,
6,6,1,"我的家。
在家最让我感到安心。
上班的时候，总是想着回家。","自宅です。
自分の家が一番安心します。
出勤するとき、ずっと家に帰りたいと思っています。",at://did:plc:f2ud37i6vbafoqiu56eplek7/app.bsky.feed.post/3lf35z3sccc2n,2025-01-06 12:44:43.254+00,2025-12-30 12:22:21.055082+00,,,
7,7,1,"我想休息。
即使在连休，也会想到工作。
希望至少有一年能过自由自在的生活。","休みたいです。
連休中でも仕事のことを考えてしまいます。
少なくとも一年は自由にすごしたいです。",at://did:plc:f2ud37i6vbafoqiu56eplek7/app.bsky.feed.post/3lf5xwq6ubc26,2025-01-07 15:34:00.737+00,2025-12-30 12:22:21.155043+00,,,
8,8,1,"我一直喜欢蓝色。
因为是漂亮又安静的颜色。
我的东西大部分都是蓝色或深蓝色。","ずっと青が好きです。
綺麗で落ち着く色だからです。
持ち物はだいたい青か紺です。",at://did:plc:f2ud37i6vbafoqiu56eplek7/app.bsky.feed.post/3lfa2ngv2ns2r,2025-01-08 11:27:49.691+00,2025-12-30 12:22:21.258816+00,,,
9,9,1,"不太相信。
我觉得这像是模糊的统计。
因为想保持开心，所以只相信好的预言。","あまり信じていません。
曖昧な統計のようなものと思っています。
でも嬉しいので、いいことだけ信じることにしています。",at://did:plc:f2ud37i6vbafoqiu56eplek7/app.bsky.feed.post/3lfczrgtyhs2p,2025-01-09 15:50:09.347+00,2025-12-30 12:22:21.352857+00,,,
10,10,1,"玩游戏是我的爱好。
我喜欢精灵宝可梦和喷射战士。
最近只玩学园偶像大师。","ゲームが趣味です。
ポケモンやスプラが好きです。
最近は学園アイドルマスターばかりやっています。",at://did:plc:f2ud37i6vbafoqiu56eplek7/app.bsky.feed.post/3lffe24huoc2p,2025-01-10 13:59:17.348+00,2025-12-30 12:22:21.438632+00,,,
11,11,1,"我的眼前有键盘。 
因为我尊敬的人在用HHKB，所以我也用一样的。 
我喜欢它的按键手感。","キーボードがあります。
尊敬する先輩が使っているので、HHKBを使っています。
打鍵感が好きです。",at://did:plc:f2ud37i6vbafoqiu56eplek7/app.bsky.feed.post/3lfhzbdwie22g,2025-01-11 15:24:28.104+00,2025-12-30 12:22:21.521976+00,,,
12,12,1,"我最喜欢星期五。 
因为是休息前的一天。 
特别是连休前的星期五最棒。","金曜日が好きです。
休みが始まる前だからです。
特に連休前は最高です。",at://did:plc:f2ud37i6vbafoqiu56eplek7/app.bsky.feed.post/3lfkmlnbiyk2o,2025-01-12 16:15:34.018+00,2025-12-30 12:22:21.632665+00,,,
13,13,1,"我看了《女校之星》。
因为既安静又有趣，疲惫的时候也能看。
我对中文版也很感兴趣。","女の園の星を読みました。
静かでおもしろいので、疲れているときも読めます。
中国語版も気になるな。",at://did:plc:f2ud37i6vbafoqiu56eplek7/app.bsky.feed.post/3lfmjrx7zjc22,2025-01-13 10:30:44.033+00,2025-12-30 12:22:21.731022+00,,,
14,14,1,"我在家里，又玩游戏又看书。 
睡觉的时间也比较多。 
优先恢复体力。","家でゲームをしたり本を読んだりしています。
寝ていることも多いです。
体力回復を優先しています。",at://did:plc:f2ud37i6vbafoqiu56eplek7/app.bsky.feed.post/3lfpjr6wbps2k,2025-01-14 15:08:17.763+00,2025-12-30 12:22:21.826222+00,,,
15,15,1,"我喝白开水。
然后量体重，吃早饭。
同时吃哮喘药。","白湯を飲みます。
その後体重を測って、朝ごはんを食べます。
一緒に喘息の薬を飲みます。",at://did:plc:f2ud37i6vbafoqiu56eplek7/app.bsky.feed.post/3lfrs7yr7bc2l,2025-01-15 12:45:04.033+00,2025-12-30 12:22:21.909792+00,,,
16,16,1,"我不太喜欢辣。
比以前更喜欢吃辣了。
喜欢的食物是冬阴功汤。","あまり好きじゃありません。
昔よりは好きになりました。
トムヤムクンが好きです。",at://did:plc:f2ud37i6vbafoqiu56eplek7/app.bsky.feed.post/3lfttxfrf5c2j,2025-01-16 08:21:22.642+00,2025-12-30 12:22:22.010325+00,,,
17,17,1,"我睡觉。
起床后，吃喜欢的东西，然后运动一下。
我觉得身体恢复了，心情也会容易好起来。","寝ます。
起きたら好きなものを食べて、少し運動します。
体調が整うと、回復しやすい気がします。",at://did:plc:f2ud37i6vbafoqiu56eplek7/app.bsky.feed.post/3lfx2tpgljs2h,2025-01-17 15:02:33.963+00,2025-12-30 12:22:22.119743+00,,,
18,18,1,"我喜欢夏天。
很热，身体比较有活力。
不过最近太热了……。","夏が好きです。
暑くて、身体がよく動きます。
ただ最近はちょっと暑すぎるかも。",at://did:plc:f2ud37i6vbafoqiu56eplek7/app.bsky.feed.post/3lfzlrgd4is2k,2025-01-18 15:10:50.391+00,2025-12-30 12:22:22.231804+00,,,
19,19,1,"虽然不是人，我最想跟Claude聊天。
可以随时聊天，不用担心话题，很幸运。
现在已经无法想象没有AI的生活了。","人じゃないけど、Claudeかな。
時間も内容も気にせず話せて助かってます。
AIがなくなることはもう考えられないかも。",at://did:plc:f2ud37i6vbafoqiu56eplek7/app.bsky.feed.post/3lg2wflyix22l,2025-01-19 03:53:44.58+00,2025-12-30 12:22:22.33613+00,,,
20,20,1,"今天我吃了金枪鱼和腌黄瓜三明治。
因为匆匆忙忙做的，味道有点淡。
应该多放点蛋黄酱的。","ツナとピクルスのサンドイッチを食べました。
慌てて作ったから、味がちょっと薄かったです。
もっとマヨネーズを入れるべきでした。",at://did:plc:f2ud37i6vbafoqiu56eplek7/app.bsky.feed.post/3lg6i3umoac2r,2025-01-20 13:48:24.647+00,2025-12-30 12:22:22.446239+00,,,
21,21,1,"买漫画的时候买错版本了。
我以为买的是Kindle版，但是今天实体书直接送到了。
以后要仔细确认才行。","漫画を版間違えて買ってたこと。
Kindle版を買ったと思ってたから直接届いてびっくりした。
ちゃんと確認しないとね……。",at://did:plc:f2ud37i6vbafoqiu56eplek7/app.bsky.feed.post/3lgdqwiro7k26,2025-01-22 16:09:46.824+00,2025-12-30 12:22:22.535694+00,,,
22,22,1,"我完全是个夜猫子。
每天早上不舒服。
但是熬夜对身体不好，我尽量不熬夜。","完全に夜型です。
朝はいつも調子が悪いです。
でも夜更かしは体に悪いので、なるべく遅くに寝ないようにしています。",at://did:plc:f2ud37i6vbafoqiu56eplek7/app.bsky.feed.post/3lgdrceprrs26,2025-01-22 16:16:25.227+00,2025-12-30 12:22:22.644294+00,,,
23,23,1,"我看了《忍者乱太郎》。
战斗场面很精彩，我看得很开心。
还想看再一次。","忍たまを観ました。
戦闘シーンが良くて、楽しく観られました。
また観たいです。",at://did:plc:f2ud37i6vbafoqiu56eplek7/app.bsky.feed.post/3lh623hrxgc2g,2025-02-02 03:02:50.428+00,2025-12-30 12:22:22.756592+00,,,
24,24,1,"我每周都会去超市集中采购，所以冰箱里有很多食品。
常备的是麦茶。
有空的时候，也会做一些常备菜放着。","毎週まとめ買いするので、食品がいっぱい入っています。
常備してるのは麦茶です。
余裕がある時は作り置きおかずも入っています。",at://did:plc:f2ud37i6vbafoqiu56eplek7/app.bsky.feed.post/3lhe6kaeisk2c,2025-02-04 13:38:39.37+00,2025-12-30 12:22:22.848682+00,,,
25,25,1,"钻进被窝的时候。
因为我特别喜欢睡觉。
我想尽可能多躺一会儿。","布団入ったときですね。
寝るのが好きなので。
できるだけたくさんごろしたいです。",at://did:plc:f2ud37i6vbafoqiu56eplek7/app.bsky.feed.post/3lhggi6s4zk2z,2025-02-05 11:06:00.017+00,2025-12-30 12:22:22.931811+00,,,
26,26,1,"我不知道。
一直穿同一衣服，不记得什么时候买的。
……我可能买新衣服比较好。","わからん。
ずっと同じものを着ていて、いつ買ったか覚えてない。
……新しいの買った方がいいかも。",at://did:plc:f2ud37i6vbafoqiu56eplek7/app.bsky.feed.post/3lhvpxomrj22p,2025-02-11 13:05:39.689+00,2025-12-30 12:22:23.030526+00,,,
27,27,1,"今天是平日，我工作了。
在家一直坐椅子上写程序。
明天要早起，所以吃完晚饭就想早点睡。","平日なので仕事してました。
ずっと家で椅子に座ってプログラミングです。
明日は早いし、夕飯食べたらすぐ寝たいな。",at://did:plc:f2ud37i6vbafoqiu56eplek7/app.bsky.feed.post/3lhxtthavec2a,2025-02-12 09:20:12.186+00,2025-12-30 12:22:23.124867+00,,,
28,28,1,"我喜欢美仕唐纳滋。
美仕多的汤面很好吃。
黑糖波提也好吃吧！","ミスドが好きです。
汁そばが美味しい。
あとポンデ黒糖も美味しい。",at://did:plc:f2ud37i6vbafoqiu56eplek7/app.bsky.feed.post/3li2bqetqn22m,2025-02-13 08:34:20.858+00,2025-12-30 12:22:23.222772+00,,,
29,29,1,"因为今天我一直在家，所以什么交通工具也没用。
一步也没出门。
手机上的步数才......啊！？根本没记录到！？","今日はずっと家にいたので、何も使ってないですね。
一歩も出てません。
スマホの歩数もたったの……え！？カウントされてない！？",at://did:plc:f2ud37i6vbafoqiu56eplek7/app.bsky.feed.post/3li5ie4c25k2h,2025-02-14 15:10:44.641+00,2025-12-30 12:22:23.316652+00,,,
30,30,1,"肩膀和腰很疲劳。
因为总是在椅子上工作。
我觉得应该多做伸展运动。","肩と腰。
座りっぱなしで作業してることが多いから。
ストレッチもっとやった方がいい気がする。",at://did:plc:f2ud37i6vbafoqiu56eplek7/app.bsky.feed.post/3li7z4flqac2k,2025-02-15 15:15:59.05+00,2025-12-30 12:22:23.403389+00,,,
31,31,1,"我常用电子支付，很少带现金。
电子支付很方便，可以看记录。
但是可能会不能用，所以我带一些现金。","電子マネー派だからあまり現金入れてませんね。
便利で、記録も残りますし。
でも突然使えなくなるかもだから、家に帰れるくらいは用意しています。",at://did:plc:f2ud37i6vbafoqiu56eplek7/app.bsky.feed.post/3libopjxuq22j,2025-02-16 07:15:09.494+00,2025-12-30 12:22:23.493348+00,,,
32,32,1,"我基本不点外卖。
不做饭的时候，要么去饭馆吃，要么在家吃买回来的食物。
以后应该也不会怎么用。","基本的に出前は使っていません。家でご飯を作らないときは、外食するか、お店で買ってきたものを家で食べています。
今後もほとんど使わないんじゃないかな。",at://did:plc:f2ud37i6vbafoqiu56eplek7/app.bsky.feed.post/3liepmx4ab225,2025-02-17 12:09:35.564+00,2025-12-30 12:22:23.596823+00,,,
33,33,1,与其说喜欢不喜欢，我更倾向于不喝酒。我家人都不太能喝酒，所以我觉得我也是。今后我只喝儿童啤酒吧。,好き嫌いというより、飲まないことにしています。家族がお酒に弱めなので、私もそうだと思いますし。これからも子供ビールだけを飲みます🍎,at://did:plc:f2ud37i6vbafoqiu56eplek7/app.bsky.feed.post/3ly6bwcbjck2z,2025-09-06 13:31:24.49+00,2025-12-30 12:22:23.686772+00,,,
34,34,1,我是右撇子，左手用得不太灵活。右手受伤的时候，不仅不会用筷子，也不会用笔，很麻烦。如果我是左右手都能用的人的话，生活可能会方便一些。,右利きで、左手はうまく使えません。右手を怪我すると、箸も持てないしペンも持てないしで、とても面倒です。両利きだったら便利なんだろうな。,at://did:plc:f2ud37i6vbafoqiu56eplek7/app.bsky.feed.post/3lyaqbgwgvs23,2025-09-07 12:53:30.332+00,2025-12-30 12:22:23.770788+00,,,
35,35,1,我喜欢吃面条，因为吃面条比吃米饭容易。因为吞咽不太好，我常常选择有汤的菜。我最喜欢的面条是酱油拉面。,ご飯より食べやすいので、麺の方が好きです。嚥下が苦手なので、スープがある料理をよく選びます。1番好きなのは醤油ラーメンです。,at://did:plc:f2ud37i6vbafoqiu56eplek7/app.bsky.feed.post/3lydatvoauc2v,2025-09-08 12:55:29.117+00,2025-12-30 12:22:23.856085+00,,,
36,36,1,我最近最喜欢《学园偶像大师》中一个角色，花海咲季。她是偶像，特别认真且努力，当然也超级可爱。她的歌曲很有魅力，而且听了让人充满活力。,最近は学園アイドルマスターの花海咲季が一推しです。彼女はアイドルで、真面目で努力家、あとめちゃくちゃ可愛いです。曲はかっこよくて、聴くと元気が出ます。,at://did:plc:f2ud37i6vbafoqiu56eplek7/app.bsky.feed.post/3lyfn5gzyk225,2025-09-09 11:40:53.696+00,2025-12-30 12:22:23.948748+00,,,
37,37,1,我这个月的目标是继续写三行中文日记。持续坚持总是不容易，所以虽然我在一月份开始写，但二月份就停了，直到一个星期前才重新开始。这次我能坚持多久呢？,今月の目標は中国語3行日記を続けることです。継続はいつも難しくて、1月に始めたものの2月には止まってしまい、1週間前に再開したばかりです。今回はどれくらい続くかな？,at://did:plc:f2ud37i6vbafoqiu56eplek7/app.bsky.feed.post/3lyiel3i6ss2r,2025-09-10 13:45:26.879+00,2025-12-30 12:22:24.069063+00,,,
38,38,1,现实中没有，但在虚构世界中有过。比如在《偶像大师 闪耀色彩》中的角色，幽谷雾子。刚开始游戏时，她的卡片插画实在太可爱了，我对她一见钟情。,現実ではないけど虚構ではありますね。アイドルマスターシャイニーカラーズの幽谷霧子とか。ゲーム始めたばかりの頃のカード絵が可愛くて、一目惚れしたんですよね。,at://did:plc:f2ud37i6vbafoqiu56eplek7/app.bsky.feed.post/3lykp2d24kk2z,2025-09-11 11:58:15.018+00,2025-12-30 12:22:24.170143+00,,,
39,39,1,我今天没有撒过谎，因为没有必要。我一直待在家里，只做了工作和上汉语课。我感冒了，所以一说话就咳嗽。,今日は嘘をつく必要がありませんでしたね。ずっと家にいて、仕事と中国語の授業しかしませんでした。風邪ひいていて喋ると咳が出ますし😭,at://did:plc:f2ud37i6vbafoqiu56eplek7/app.bsky.feed.post/3lynanv2xlk2y,2025-09-12 12:18:44.542+00,2025-12-30 12:22:24.274416+00,,,
40,40,1,我总是加糖和牛奶。但其实，我比起咖啡更喜欢茶。喝咖啡后，我有时会肚子疼，所以我不太喝。,いつも砂糖と牛乳を入れます。でも実のところ、コーヒーよりお茶が好きです。コーヒーを飲むとお腹が痛くなることがあるので、あまり飲みません。,at://did:plc:f2ud37i6vbafoqiu56eplek7/app.bsky.feed.post/3lypkg2qtfc22,2025-09-13 10:18:38.962+00,2025-12-30 12:22:24.369672+00,,,
41,41,1,我没见过鬼，也不想见。我觉得鬼根本不存在，但正因为这样，我反而感到害怕。我不太喜欢害怕的东西，所以尽量避免接触。,"見たことはないし、今後も見たくないですね。
そもそもいないと思っているせいで怖いと思っている気もします。怖いものって苦手なので、なるべく関わりたくありません。",at://did:plc:f2ud37i6vbafoqiu56eplek7/app.bsky.feed.post/3lyrjptu3os2w,2025-09-14 05:11:33.007+00,2025-12-30 12:22:24.48651+00,,,
42,42,1,我很注意有规律地生活。会吃营养均衡的饮食，适量运动，保证良好的睡眠。因为我体力不足，所以不会勉强自己。,規則正しい生活を心がけています。バランスが取れた食事、少しの運動、よく眠る。体力がないので、無理はしません。,at://did:plc:f2ud37i6vbafoqiu56eplek7/app.bsky.feed.post/3lyu7dk254s2r,2025-09-15 06:43:41.864+00,2025-12-30 12:22:24.599969+00,,,
43,43,1,"最近最大的错误是午睡时间太长了。
我有很多事情要做，所以休息的时候，我应该合理安排时间。但吃午饭后，总是感到困倦，我想小睡一下，结果……一觉醒来，已经过去两个小时了……。",最近の1番大きなミスはお昼寝のしすぎです。やることがたくさんあるので、休みの日は時間を大事に使う必要があります。でも昼食後っていつも眠くて、ちょっと寝ようと思って、それで…眼が覚めたら2時間経ってましたね。,at://did:plc:f2ud37i6vbafoqiu56eplek7/app.bsky.feed.post/3lyxdu7x7fc26,2025-09-16 12:42:35.889+00,2025-12-30 12:22:24.706431+00,,,
44,44,1,今天的颜色是红色。我觉得最近天凉了，但今天太热了。穿夏装，用空调，喝冷水，也还很热，秋天在哪里啊？,今日の色は赤です。最近涼しくなったと思ってたのですが今日暑くて。夏服きてエアコンつけて冷たい水飲んでるのにまだ暑いとは、秋はどこに行ったんでしょうか？,at://did:plc:f2ud37i6vbafoqiu56eplek7/app.bsky.feed.post/3lyzu4nh7ak2x,2025-09-17 12:38:57.826+00,2025-12-30 12:22:24.813133+00,,,
45,45,1,在我的生活中，互联网和计算机是不可或缺的。无论是工作、玩游戏、和朋友聊天还是进行调查，所有这些都需要它们。没有互联网，生活会变得非常不便。,私の生活に欠かせないのはインターネットとコンピュータですね。仕事するにもゲームするかにも、友人たちと話すのにも調べ物をするのにも、必須ですから。インターネットなしでは、生活がすごく不便になります。,at://did:plc:f2ud37i6vbafoqiu56eplek7/app.bsky.feed.post/3lz4dmzmyuk2s,2025-09-18 12:21:53.074+00,2025-12-30 12:22:24.939882+00,,,
46,46,1,"我常常用“也许”和“不知道”。
因为我不太相信自己，所以不知不觉地用这些措辞。需要断言的时候，我会标明出处，或说明“这只是我的想法”。","よく使うのは「かも」と「知らんけど」です。
あまり自分を信用していないので、ついこれらを使ってしまいます。断言しないといけない時は、出典を明記したりただ自分の意見であると書くこともあります。",at://did:plc:f2ud37i6vbafoqiu56eplek7/app.bsky.feed.post/3lz7253l2gs2g,2025-09-19 14:09:53.775+00,2025-12-30 12:22:25.051113+00,,,
47,47,1,"没有，至少我记得的没有。
我是一个健忘的人，不太记得每天的事情。
有时想不起来认识的人的名字，真是尴尬极了。","ないですね、覚えている限りでは。
忘れっぽいので最近のこともあまり覚えていません。知り合いの名前を思い出せないときはたまに気まずいですが……。",at://did:plc:f2ud37i6vbafoqiu56eplek7/app.bsky.feed.post/3lzblgu3cis2z,2025-09-20 14:24:54.551+00,2025-12-30 12:22:25.161702+00,,,
48,48,1,我想不出来。与其想变成什么，不如想能不能幸福。我觉得即使变成猫或人，环境也是最重要的。,思いつきません。何になりたいかというより幸せになれるかな気がします。猫になるにしろ人になるにしろ、1番重要なのは環境かなって。,at://did:plc:f2ud37i6vbafoqiu56eplek7/app.bsky.feed.post/3lzdvj3tssk2x,2025-09-21 12:30:26.698+00,2025-12-30 12:22:25.264214+00,,,
49,49,1,"我比较容易在哪里都能睡着。
我经常犯困，坐电车时，在医院等候时，或者站着听话时，都可能睡着。但当然我还是希望尽量在家睡觉。",比較的どこでも寝られる方です。大体いつも眠いので、電車に乗っていたり病院で順番を待ったり立って話を聞いたりなどいつでも寝られます。まあもちろんできるだけ家で寝たいですけどね。,at://did:plc:f2ud37i6vbafoqiu56eplek7/app.bsky.feed.post/3lzganaek4s2w,2025-09-22 10:54:56.295+00,2025-12-30 12:22:25.395102+00,,,
50,50,1,我看了去年这个时候的X的帖子，发现我做的事情跟今年的一样。玩学园偶像大师，吃雾子的生日蛋糕和看动画电影。要说有什么不同的话，今年比去年学习得多了一点儿。,去年の同じ時期のXのポストを確認したところ、今年と同じことをしていることがわかりました。学マスで遊び、霧子の誕生日ケーキを食べ、アニメ映画を観ています。強いていうなら去年より今年の方が勉強してるか……。,at://did:plc:f2ud37i6vbafoqiu56eplek7/app.bsky.feed.post/3lzixka4pqk2m,2025-09-23 12:50:10.914+00,2025-12-30 12:22:25.502739+00,,,
51,51,1,"戴上降噪耳机，开始工作。
我发现在没有开始工作之前，很难集中注意力，所以“开始”是最重要的事情。如果我不能长时间继续工作，只要开始了，工作就会一点一滴地推进。",ノイズキャンセリングのヘッドホンつけて、とりあえず作業を始めます。どうも私は作業を始めないと集中できないみたいなので、始めることが最重要です。もし作業を続けられなくても、開始してさえいれば、作業は少しずつ進みますし。,at://did:plc:f2ud37i6vbafoqiu56eplek7/app.bsky.feed.post/3lzlkb3bndk2i,2025-09-24 13:30:24.415+00,2025-12-30 12:22:25.607613+00,,,
52,52,1,"我很难接受排外的态度。
我发现这样的人最近比以前多了一些。我希望这种不容易的情况会有所好转。",排外的な振る舞いは苦手です。最近以前より増えたように思います。このような状況が好転することを願っています。,at://did:plc:f2ud37i6vbafoqiu56eplek7/app.bsky.feed.post/3lzno434t622b,2025-09-25 09:44:30.928+00,2025-12-30 12:22:25.699221+00,,,
53,53,1,我不太喜欢吃煎蛋，所以只有别人做的时候我才吃。在我周围，只有爸爸会给我做煎蛋，他总是只放盐。因此，我每次吃的煎蛋都是盐味的。,あまり目玉焼きが好きではないので、誰かが作ってくれた時しか食べません。私の周りで作ってくれるのは父だけで、彼は塩を使います。結果として、いつも塩味の目玉焼きを食べています。,at://did:plc:f2ud37i6vbafoqiu56eplek7/app.bsky.feed.post/3lzqnliryns2y,2025-09-26 14:13:14.044+00,2025-12-30 12:22:25.801164+00,,,
54,54,1,对我来说，问题可能不在于被问了什么，而在于谁问了。我不太喜欢涉及到个人隐私的问题，但如果朋友问，我不介意。相反地，我不喜欢那些不太熟悉且纠缠不休的人,何を聞かれるかというより誰に聞かれるかかも。プライベートなことを聞かれるのはあまり好きではありませんが、友人なら全く気になりません。逆によく知らなくてしつこい人はみんな苦手です。,at://did:plc:f2ud37i6vbafoqiu56eplek7/app.bsky.feed.post/3lzsyszpqrc24,2025-09-27 12:39:37.313+00,2025-12-30 12:22:25.908816+00,,,
55,55,1,"今天离过年还有94天。时间过得真快，我觉得一眨眼大年三十就要到了。
从今年一月开始上汉语课，已经九个月了，我希望我的汉语能好一点儿。","年末まであと94日です。あっという間に大晦日になると思います。
今年の一月に中国語の授業を受け始めてからもう9ヶ月経ちましたし、中国語が少しうまくなっていたらいいな。",at://did:plc:f2ud37i6vbafoqiu56eplek7/app.bsky.feed.post/3lzvdjrk4rs2f,2025-09-28 10:56:37.387+00,2025-12-30 12:22:26.016324+00,,,
56,56,1,"我刚旅游回来，所以房间里放着行李。
我只把需要冷藏的东西放进了冰箱。今天我已经累了，收拾的工作留给明天的我吧。",旅行に行って帰ってきたばかりで、荷物が放って置かれています。冷蔵のものだけ冷蔵庫に入れました。今日はもう疲れたので、片付けは明日の私の仕事です。,at://did:plc:f2ud37i6vbafoqiu56eplek7/app.bsky.feed.post/3lzxs5pvtzc2v,2025-09-29 10:23:38.626+00,2025-12-30 12:22:26.10811+00,,,
