id,day_number,question_zh,question_ja,created_at
1,1,你最近沉迷于什么？,,2025-12-30 12:22:06.075528+00
2,2,今天你都联系过谁？,,2025-12-30 12:22:06.204347+00
3,3,用三个词来描述一下今天发生的事。,,2025-12-30 12:22:06.298296+00
4,4,你喜欢什么运动？,,2025-12-30 12:22:06.424526+00
5,5,你今天买的最贵的东西是什么？,,2025-12-30 12:22:06.546272+00
6,6,你现在最想去的地方是哪里？,,2025-12-30 12:22:06.655129+00
7,7,如果能够实现一个愿望，你想干什么？,,2025-12-30 12:22:06.762956+00
8,8,你喜欢什么颜色？,,2025-12-30 12:22:06.865688+00
9,9,你相信算命吗？,,2025-12-30 12:22:06.976838+00
10,10,你有什么爱好？,,2025-12-30 12:22:07.089695+00
11,11,现在你的眼前有什么？,,2025-12-30 12:22:07.204777+00
12,12,你最喜欢星期几？,,2025-12-30 12:22:07.303634+00
13,13,你最近看了什么书？,,2025-12-30 12:22:07.408007+00
14,14,你休息日经常做什么？,,2025-12-30 12:22:07.518977+00
15,15,你早上起来首先会做什么？,,2025-12-30 12:22:07.651969+00
16,16,你喜欢吃辣的吗？,,2025-12-30 12:22:07.783979+00
17,17,你心情不好的时候会怎么解决？,,2025-12-30 12:22:07.905569+00
18,18,你最喜欢哪个季节？,,2025-12-30 12:22:08.009729+00
19,19,你现在最想跟谁聊天？,,2025-12-30 12:22:08.1272+00
20,20,你中午吃了什么？,,2025-12-30 12:22:08.239594+00
21,21,今天最让你吃惊的事情是什么？,,2025-12-30 12:22:08.349484+00
22,22,你是晨型人还是夜型人？,,2025-12-30 12:22:08.442236+00
23,23,你最近看过什么电影？,,2025-12-30 12:22:08.574812+00
24,24,你家冰箱里都有什么？,,2025-12-30 12:22:08.668913+00
25,25,你什么时候会感到幸福？,,2025-12-30 12:22:08.779156+00
26,26,你今天穿带的东西里什么最贵？,,2025-12-30 12:22:08.896781+00
27,27,说说你今天都做了些什么？,,2025-12-30 12:22:09.014749+00
28,28,你最喜欢的餐厅是哪一家？,,2025-12-30 12:22:09.122546+00
29,29,你今天用了什么交通工具？,,2025-12-30 12:22:09.215741+00
30,30,你的身体现在哪里感到最疲劳？,,2025-12-30 12:22:09.306702+00
31,31,现在你钱包里有多少现金？,,2025-12-30 12:22:09.40323+00
32,32,你最近点过外卖吗？,,2025-12-30 12:22:09.489832+00
33,33,你喜欢喝酒吗？,,2025-12-30 12:22:09.592991+00
34,34,你是左撇子还是右撇子？,,2025-12-30 12:22:09.70682+00
35,35,你喜欢吃面条还是米饭？,,2025-12-30 12:22:09.812531+00
36,36,你最喜欢什么动漫角色？,,2025-12-30 12:22:09.901083+00
37,37,你这个月有什么目标？,,2025-12-30 12:22:09.993673+00
38,38,你曾有过一见钟情吗？,,2025-12-30 12:22:10.102092+00
39,39,今天你有没有撒过谎？,,2025-12-30 12:22:10.185788+00
40,40,你喝咖啡的时候会加糖吗？,,2025-12-30 12:22:10.282692+00
41,41,你见过鬼吗？,,2025-12-30 12:22:10.385948+00
42,42,为了保持健康，你会做些什么？,,2025-12-30 12:22:10.478101+00
43,43,最近犯过最大的错误是什么？,,2025-12-30 12:22:10.575671+00
44,44,如果用一个颜色来形容今天的你是什么颜色？,,2025-12-30 12:22:10.668835+00
45,45,你生活最离不开的东西是什么？,,2025-12-30 12:22:10.761458+00
46,46,你的口头禅是什么？,,2025-12-30 12:22:10.911065+00
47,47,最近经历过什么尴尬的事情吗？,,2025-12-30 12:22:11.017475+00
48,48,如果有来世，你想变成什么？,,2025-12-30 12:22:11.121279+00
49,49,你随时随地都能睡着吗？,,2025-12-30 12:22:11.223356+00
50,50,去年这个时候，你在做什么？,,2025-12-30 12:22:11.316008+00
51,51,你想集中精神的时候会做什么？,,2025-12-30 12:22:11.422343+00
52,52,你最不能容忍的事情是什么？,,2025-12-30 12:22:11.517643+00
53,53,你吃煎蛋时会用什么？,,2025-12-30 12:22:11.604843+00
54,54,你讨厌被问到什么样的问题？,,2025-12-30 12:22:11.71174+00
55,55,离过年还有多少天？,,2025-12-30 12:22:11.801326+00
56,56,描述一下你房间现在的样子。,,2025-12-30 12:22:11.916485+00
57,57,你的拿手菜是什么？,,2025-12-30 12:22:12.010678+00
58,58,你是个什么样的人？,,2025-12-30 12:22:12.110643+00
59,59,你怕冷还是怕热？,,2025-12-30 12:22:12.202697+00
60,60,你今天穿了什么样的衣服。,,2025-12-30 12:22:12.301769+00
61,61,你在什么样的时候会表扬自己？,,2025-12-30 12:22:12.404988+00
62,62,你都养过什么宠物？,,2025-12-30 12:22:12.495307+00
63,63,介绍一下你现在住的地方,,2025-12-30 12:22:12.590184+00
64,64,除了手机，你还有那些随身携带的东西？,,2025-12-30 12:22:12.677956+00
65,65,你好朋友吗？是什么样的人？,,2025-12-30 12:22:12.761797+00
66,66,你是一个心思细的人吗？,,2025-12-30 12:22:12.858537+00
67,67,你喜欢晴天还是雨天？,,2025-12-30 12:22:12.949468+00
68,68,你将来有没有什么想挑战的事情？,,2025-12-30 12:22:13.055104+00
69,69,现在几点？,,2025-12-30 12:22:13.151693+00
70,70,你是乐观主义者还是悲观主义者？,,2025-12-30 12:22:13.246726+00
71,71,你记性好吗？,,2025-12-30 12:22:13.364015+00
72,72,你现在有什么担心的事情吗？,,2025-12-30 12:22:13.528074+00
73,73,你有没有想改掉的坏毛病？,,2025-12-30 12:22:13.62963+00
74,74,你想换一个什么样的发型？,,2025-12-30 12:22:13.719117+00
75,75,你喜欢山还是喜欢海？,,2025-12-30 12:22:13.822266+00
76,76,你明天打算干什么？,,2025-12-30 12:22:13.906507+00
77,77,你小时候的梦想是什么？,,2025-12-30 12:22:14.017838+00
78,78,说说你的黑历史。,,2025-12-30 12:22:14.107379+00
79,79,最近发生过令你感到无语的事吗？,,2025-12-30 12:22:14.18911+00
80,80,你有烦恼的时候会听谁的意见？,,2025-12-30 12:22:14.278394+00
81,81,如果可以随便选，你最想住在哪里？,,2025-12-30 12:22:14.371975+00
82,82,你买过的最满意的东西是什么？,,2025-12-30 12:22:14.4841+00
83,83,冬天必备的东西都有什么？,,2025-12-30 12:22:14.597185+00
84,84,你听过中文歌曲吗？,,2025-12-30 12:22:14.687885+00
85,85,最近有什么让你感动的事情吗？,,2025-12-30 12:22:14.781827+00
86,86,到目前为止，最让你开心的礼物是什么？,,2025-12-30 12:22:14.881757+00
87,87,你擅长整理吗？,,2025-12-30 12:22:14.989769+00
88,88,你想对昨天的自己说句什么话？,,2025-12-30 12:22:15.077922+00
89,89,什么样的事情会令你内心感到最充实？,,2025-12-30 12:22:15.166661+00
90,90,如果能变成透明人，你最想干什么？,,2025-12-30 12:22:15.259957+00
91,91,你有几个LINE好友？,,2025-12-30 12:22:15.354526+00
92,92,你是什么血型的？,,2025-12-30 12:22:15.438547+00
93,93,你染过头发吗？如果要染的话想染成什么颜色？,,2025-12-30 12:22:15.541032+00
94,94,感冒了应该怎么办？,,2025-12-30 12:22:15.629664+00
95,95,夏天你会怎么防暑？,,2025-12-30 12:22:15.725547+00
96,96,你有什么喜欢收集的东西吗？,,2025-12-30 12:22:15.825366+00
97,97,说说你讨厌做的家务？,,2025-12-30 12:22:15.920534+00
98,98,你喜欢的甜点是什么？,,2025-12-30 12:22:16.007737+00
99,99,你小时候是什么样的孩子？,,2025-12-30 12:22:16.10476+00
100,100,今天天气怎么样？,,2025-12-30 12:22:16.206111+00
101,101,你觉得大人和小孩的区别是什么？,,2025-12-30 12:22:16.313261+00
102,102,你有每周都买的东西吗？,,2025-12-30 12:22:16.42698+00
103,103,除了中文以外，好想学什么语言？,,2025-12-30 12:22:16.551909+00
104,104,你最喜欢的电影是什么？,,2025-12-30 12:22:16.663067+00
105,105,你喜欢的名言是什么？,,2025-12-30 12:22:16.777971+00
106,106,你最想见哪个历史人物？,,2025-12-30 12:22:16.880277+00
107,107,你最近哭过吗？,,2025-12-30 12:22:17.051465+00
108,108,有没有令你难忘的一天？,,2025-12-30 12:22:17.166455+00
109,109,你去过中国吗？,,2025-12-30 12:22:17.285449+00
110,110,看到红色，你会联想到什么？,,2025-12-30 12:22:17.391494+00
111,111,从你家到最近的车站大概要走多长时间？,,2025-12-30 12:22:17.480753+00
112,112,你吃东西吃的快吗？,,2025-12-30 12:22:17.588219+00
113,113,你有喜欢的文具吗？,,2025-12-30 12:22:17.702816+00
114,114,如果你一个人去无人岛，会带什么东西去呢。,,2025-12-30 12:22:17.843593+00
115,115,你是认生的人还是善于社交的人？,,2025-12-30 12:22:17.942094+00
116,116,有没有令你难忘的老师？,,2025-12-30 12:22:18.036395+00
117,117,你经常欣赏话剧和音乐剧吗？,,2025-12-30 12:22:18.146763+00
118,118,你上学的时候最喜欢哪门课？,,2025-12-30 12:22:18.231167+00
119,119,你会怎么度过乘坐飞机的时间？,,2025-12-30 12:22:18.325286+00
120,120,你为什么学习中文？,,2025-12-30 12:22:18.409061+00
121,121,十年后你觉得你会在哪里，在做什么？,,2025-12-30 12:22:18.492386+00
122,122,你搬过几次家？,,2025-12-30 12:22:18.581514+00
123,123,有没有什么事情会让你感到害怕？,,2025-12-30 12:22:18.677332+00
124,124,如果有时光机，你会选择回到过去还是未来？,,2025-12-30 12:22:18.781111+00
125,125,你想不想去太空旅行？,,2025-12-30 12:22:18.880637+00
126,126,日常生活中，你能为环保做什么？,,2025-12-30 12:22:18.986503+00
127,127,你有没有人生目标？,,2025-12-30 12:22:19.075651+00
128,128,你一个人生活过吗？,,2025-12-30 12:22:19.165536+00
129,129,你一共去过多少国家？,,2025-12-30 12:22:19.281759+00
130,130,你推荐一下你喜欢的漫画。,,2025-12-30 12:22:19.38336+00
131,131,你被蜜蜂蛰过吗？,,2025-12-30 12:22:19.482265+00
132,132,你吃过最好吃的东西是什么？,,2025-12-30 12:22:19.586133+00
133,133,你最近有没有熬夜?,,2025-12-30 12:22:19.690542+00
134,134,你常去博物馆和美术馆吗?,,2025-12-30 12:22:19.826133+00
135,135,你是一个节省的人，还是爱花钱的人？,,2025-12-30 12:22:19.926761+00
136,136,你有没有无论如何都不能舍弃的东西？,,2025-12-30 12:22:20.044037+00
137,137,你有驾照吗？如果有的话，你喜欢开车吗？,,2025-12-30 12:22:20.14979+00
138,138,你最喜欢的便利店是哪一家？,,2025-12-30 12:22:20.238878+00
139,139,你会游泳吗？,,2025-12-30 12:22:20.364451+00
140,141,你理想中的假日是怎样过的?,理想の休日の過ごし方は？,2026-01-01 12:19:45.419701+00
141,142,你中过彩票吗？,宝くじに当たったことはある？,2026-01-02 13:43:53.048677+00
142,143,你喜欢吃什么菜？,何料理が好き？,2026-01-02 15:14:54.82329+00
143,144,你有没有想从事的职业？,やってみたい職業はある？,2026-01-04 01:09:00.587828+00
144,140,你爬过富士山吗？,富士山に登ったことはある？,2026-01-04 02:05:56.490781+00
145,145,你露营过吗？,キャンプしたことはある？,2026-01-04 06:11:08.36111+00
146,146,当你遇到困难的时候、会怎样控制情绪？,つらいときは、どうやって心を落ち着かせる？,2026-01-04 06:12:35.536235+00
147,147,你喜欢跳舞吗？,踊るのは好き？,2026-01-04 06:14:51.552222+00
148,148,你去过哪些名胜古迹？,どんな名所旧跡を訪れたことがある？,2026-01-04 06:15:42.156409+00
149,149,你平时的睡姿是什么样的？,普段どんな姿勢で寝る？,2026-01-04 06:18:08.047158+00
150,150,你有没有令你感到后悔的事情？,後悔していることはある？,2026-01-04 06:19:05.405842+00
151,151,现在有没有什么想吃的东西？,今、何か食べたいものはある？,2026-01-04 06:20:02.67895+00
152,152,你有兄弟姐妹吗？,きょうだいはいる？,2026-01-04 06:21:16.227492+00
153,153,最近有没有经常去的地方？,最近よく行くところはある？,2026-01-04 06:23:08.78417+00
154,154,你会弹什么乐器吗？,何か楽器を弾ける？,2026-01-04 06:29:24.817784+00
155,155,你晕车吗？,車酔いをすることはある？,2026-01-04 06:29:56.857094+00
156,156,你最近剪头发了吗？,最近、髪切った？,2026-01-04 06:30:41.167827+00
157,157,你最喜欢的宝石是什么？,一番好きな宝石は？,2026-01-04 06:31:35.020959+00
158,158,你会说几门外语 ?,何か国語話せる？,2026-01-04 06:33:13.788475+00
159,159,你还记得你小时候的事情吗？,子どもの頃のことを覚えてる？,2026-01-04 06:34:18.283569+00
160,160,你经常戴帽子吗 ?,帽子はよくかぶる？,2026-01-04 06:35:08.023696+00
161,161,说起夏天、你会联想到什么?,夏といえば思い浮かぶものは？,2026-01-04 08:46:56.393761+00
162,162,你想对小时候的自己说什么?,子どもの頃の自分に言いたいことはある？,2026-01-04 08:49:26.246686+00
163,163,你跳伞吗？你想不想试一试?,スカイダイビングをしたことはある？やってみたい？,2026-01-04 08:50:36.230072+00
164,164,你得到过明星或名人的签名吗?,芸能人や有名人からサインをもらったことはある？,2026-01-04 08:51:48.685597+00
165,165,你喜欢的演员是谁?,好きな俳優は誰？,2026-01-04 08:52:52.033836+00
166,166,你看过的最恐怖的电影是什么?,今まで見た中で一番怖かった映画は？,2026-01-04 08:53:37.913629+00
167,167,你是个守时的人吗?,あなたは時間を守るほう？,2026-01-04 08:54:50.219873+00
168,168,你住过体验最好的酒店是哪一家?,今まで泊まった中で一番良かったホテルは？,2026-01-04 08:55:56.958897+00
169,169,你小时候的零花钱、都花在什么地方?,子どもの頃、お小遣いは何に使ってた？,2026-01-04 08:57:01.804131+00
170,170,你昨晚睡得好吗?,昨夜はよく眠れた？,2026-01-04 08:57:28.629674+00
171,171,你出生在哪里?,生まれたところはどこ？,2026-01-25 08:36:58.141625+00
172,172,你喜欢旅游吗?,旅行をするのは好き？,2026-01-25 08:37:36.763625+00
173,173,你经常散步吗?,散歩はよくする？,2026-01-25 08:38:31.774261+00
174,174,你玩儿游戏吗?,ゲームはする？,2026-01-25 08:39:05.491737+00
175,175,你最喜欢的中文是什么?,一番好きな中国語は？,2026-01-25 08:40:14.467608+00
176,176,你的生活中有足够的自由时间吗?,生活の中で、自由にできる時間は十分にある？,2026-01-25 08:41:23.86187+00
177,177,日出和日落你更喜欢哪个?,日の出と日の入り、どちらが好き？,2026-01-25 08:42:36.801531+00
178,178,有哪些你小时候会做而现在却做不到的事?,子供の頃できたのに、できなくなってしまったことは？,2026-01-25 08:44:36.806758+00
179,179,你喜欢变化吗?," 変化は好き？",2026-01-25 08:45:05.526109+00
180,180,和你关系好的朋友都有什么共同点?,あなたと仲の良い友達の共通点は？,2026-01-25 08:46:22.268776+00
181,181,你喜欢自己的声音吗?,自分の声は好き？,2026-01-25 08:47:08.657675+00
182,182,你想去看的世界遗产有哪些?,訪れてみたい世界遺産はある？,2026-01-25 08:48:29.801069+00
183,183,你最喜欢的数字是什么?,一番好きな数字は？,2026-01-25 08:49:40.168356+00
184,184,你能保守秘密吗?,秘密は守れる？,2026-01-25 08:50:44.766103+00
185,185,你上过电视吗?,テレビに出たことはある？,2026-01-25 08:53:45.275963+00
186,186,你相信迷信吗?,迷信は信じる？,2026-01-25 08:55:11.826325+00
187,187,你对什么过敏吗?,何かアレルギーはある？,2026-01-25 08:56:22.873741+00
188,188,你觉得最无聊的日常任务是什么?,日々やらなければいけないことで、一番つまらないのは何？,2026-01-25 08:58:10.023264+00
189,189,你喜欢看月亮吗?,月を眺めるのは好き？,2026-01-25 09:00:14.932072+00
190,190,你喜欢聊天吗?,おしゃべりは好き？,2026-01-25 09:00:46.46144+00
191,191,你对恐龙感兴趣吗?,恐竜に興味はある？,2026-01-25 09:01:54.286448+00
192,192,你参加过慈善活动吗?,ボランティアをしたことはある？,2026-01-25 09:02:40.496233+00
193,193,你喜欢拍照吗?,写真を撮るのは好き？,2026-01-25 09:03:32.190847+00
194,194,你最近写过信吗?,最近、手紙を書いたことはある？,2026-01-25 09:04:22.579609+00
195,195,你擅长画画儿吗?,絵を描くのは得意？,2026-01-25 09:05:09.482203+00
196,196,你有喜欢的游乐园吗?,好きな遊園地はある？,2026-01-25 09:05:50.907155+00
197,197,你最常用的支付方式是什么?,一番よく使う決済方法は？,2026-01-25 09:09:00.114472+00
198,198,你减过肥吗?,ダイエットしたことある？,2026-01-25 09:10:53.719138+00
199,199,你喜欢邀请朋友来家里吗?,友人を家に招待するのは好き？,2026-01-25 09:12:22.151897+00
200,200,你每天上几个小时网?,あなたは毎日何時間インターネットを使う？,2026-01-25 09:13:31.644671+00
201,201,你打过耳洞吗?,ピアスを開けたことはある？,2026-02-15 07:49:55.424098+00
203,202,你喜欢什么蔬菜?,どんな野菜が好き？,2026-02-15 07:50:36.428522+00
204,203,你平时听广播吗?,普段ラジオは聞く？,2026-02-15 07:51:45.036079+00
205,204,你最理想的工作是什么?,あなたにとって理想の仕事とは？,2026-02-15 07:52:33.704597+00
206,205,最让你感到生气的事情是什么?,あなたを一番怒らせることは何？,2026-02-15 07:53:41.233133+00
207,206,你最经常跟谁吵架?,誰と一番口げんかをする？,2026-02-15 07:54:22.820268+00
208,207,外星人真的存在吗?,宇宙人は本当にいる？,2026-02-15 07:55:13.699523+00
209,208,你喜欢泡澡吗?,お風呂につかるのは好き？,2026-02-15 07:55:43.176925+00
210,209,最近买的家电是什么?,最近買った家電は何？,2026-02-15 07:56:22.145627+00
211,210,你手巧吗?,手先は器用？,2026-02-15 07:56:41.856756+00
212,211,你喜欢的电视节目是什么?,好きなテレビ番組は？,2026-02-15 07:57:23.464821+00
213,212,学习中文的难点在哪里?,中国語学習のどんなところが難しい？,2026-02-15 07:57:56.674902+00
214,213,今天吃了什么好吃的东西吗?,今日、何かおいしいもの食べた？,2026-02-15 07:58:43.7211+00
215,214,你去KTV必唱的歌是哪一首?,カラオケで必ず歌う曲は？,2026-02-15 07:59:52.454999+00
216,215,今天的午餐和谁一起吃的?,今日のランチは誰と食べた？,2026-02-15 08:00:30.49707+00
217,216,你最近有没有尝试过什么新的事情?,最近新しく始めたことはある？,2026-02-15 08:01:24.744628+00
218,217,你最近做过什么样的梦?,最近どんな夢を見た？,2026-02-15 08:02:08.282249+00
219,218,你喜欢看什么样的风景?,あなたの好きな風景は？,2026-02-15 08:02:41.819886+00
220,219,你经常说的一句话是什么?,いつも言うようにしている言葉は何？,2026-02-15 08:04:05.470609+00
221,220,"为了成长,你需要做什么?",あなたが成長するために必要なものは？,2026-02-15 08:04:48.520512+00
222,221,你以前都打过什么工?,これまでどんなアルバイトをしたことがある？,2026-03-08 04:49:09.937098+00
223,222,有没有让你难忘的歌曲?,忘れられない曲はある？,2026-03-08 04:49:52.984704+00
224,223,你今天说的第一句话是什么?,今日一番最初に話した言葉は？,2026-03-08 04:51:59.799224+00
225,224,最近让你难过的事情是什么?,最近、悲しかったことは？,2026-03-08 04:52:50.689343+00
226,225,写出你想要的10件东西.,欲しいものを10個書き出して。,2026-03-08 04:54:14.124674+00
227,226,你今天去哪里了?,今日はどこに行った？,2026-03-08 04:54:40.262623+00
228,227,"如果能奖励你一样东西,你想要什么?",自分にご褒美をあげるとしたら、何が欲しい？,2026-03-08 04:55:36.606847+00
229,228,什么时候会让你觉得想花钱?,お金を使いたくなるのはどんなとき？,2026-03-08 04:56:38.718423+00
230,229,你的宝贝是什么?,あなたの宝物は何？,2026-03-08 04:57:07.691436+00
231,230,你今天身体怎么样?,今日の体調は？,2026-03-08 04:57:50.057966+00